wage,hours,IQ,educ,exper,tenure,age,married,south,urban,sibs,brthord,meduc,feduc
1250,40,115,14,9,1,29,1,0,1,2,2,12,12
590,40,109,13,10,7,29,1,0,0,2,2,12,12
756,40,78,14,9,2,31,1,0,1,2,2,12,12
1282,45,121,18,7,13,32,1,0,1,2,2,12,12
758,38,126,16,10,8,28,0,0,1,2,2,12,12
583,80,86,12,9,1,30,1,1,1,2,2,12,12
1333,60,106,15,5,1,30,1,1,1,2,2,12,12
3078,30,107,13,11,4,29,1,0,1,2,2,12,12
1270,40,84,12,11,12,30,1,0,1,2,2,12,12
1250,40,95,12,12,2,32,1,0,1,2,2,12,12
673,40,85,12,17,10,35,1,0,0,2,2,12,12
515,45,114,13,8,10,28,1,0,0,3,2,12,12
1202,40,101,15,15,17,37,1,0,1,3,2,12,12
812,40,98,12,10,2,29,0,0,1,3,2,12,12
1155,40,117,13,9,1,28,1,0,1,3,2,12,12
1202,40,131,16,10,2,33,1,0,0,3,2,12,12
1031,40,112,14,9,5,29,1,0,1,4,2,12,12
931,80,108,16,4,1,36,1,0,1,4,2,12,12
1110,52,106,12,11,6,33,1,0,0,5,2,12,12
1136,50,117,14,16,12,34,1,1,1,2,3,12,12
1202,40,125,14,10,11,29,1,0,1,2,3,12,12
1000,40,100,12,16,14,32,1,1,1,2,3,12,12
1241,40,83,13,9,10,33,1,1,1,2,3,12,12
1300,40,78,13,12,3,33,1,1,1,2,3,12,12
1699,40,96,12,10,1,29,0,1,1,2,3,12,12
666,40,104,12,10,2,29,1,0,0,2,3,12,12
615,40,100,14,9,4,30,1,0,0,3,3,12,12
1366,40,90,12,13,1,30,1,0,1,3,3,12,12
2137,40,120,16,16,3,37,1,1,1,3,3,12,12
650,40,96,12,13,7,32,1,0,1,4,3,12,12
1272,40,107,12,10,1,30,1,0,1,4,3,12,12
714,40,90,12,17,1,37,1,0,0,5,3,12,12
1000,40,93,11,11,0,29,1,1,1,5,3,12,12
1746,40,131,18,9,10,33,1,0,1,7,3,12,12
950,40,98,12,11,6,30,1,0,1,3,4,12,12
1463,45,104,15,14,11,37,1,1,1,3,4,12,12
1000,40,72,12,16,9,34,1,0,1,3,4,12,12
625,40,73,11,1,1,31,1,0,1,3,4,12,12
500,40,96,12,6,0,33,1,1,1,4,4,12,12
528,55,116,18,5,9,30,1,0,1,4,5,12,12
905,40,102,12,17,4,37,1,0,0,5,5,12,12
520,40,126,16,8,1,30,1,0,1,7,5,12,12
1442,40,115,12,14,9,36,1,0,1,7,5,12,12
450,40,79,10,20,5,36,1,1,1,7,6,12,12
808,40,107,16,6,7,29,1,0,0,7,6,12,12
664,40,105,12,8,10,29,1,0,1,7,6,12,12
1304,45,119,17,9,9,31,1,0,0,1,1,13,12
1394,40,118,16,11,8,30,1,0,0,2,1,13,12
1417,48,125,17,9,4,34,1,0,1,3,1,13,12
714,35,105,16,9,2,29,1,0,1,1,2,13,12
575,40,85,13,6,1,30,1,0,0,1,2,13,12
711,45,110,16,8,5,32,1,1,1,3,2,13,12
1000,40,89,12,9,5,28,1,0,1,2,3,13,12
425,30,106,17,8,0,36,0,1,0,0,1,14,12
2067,40,106,16,12,13,33,1,1,1,2,1,14,12
1602,60,110,15,14,1,37,1,0,1,5,1,14,12
1025,40,85,15,9,13,29,1,0,1,6,1,14,12
1127,40,98,12,17,12,36,1,1,1,1,2,14,12
1070,40,91,12,13,1,30,1,0,1,1,2,14,12
912,40,96,16,11,5,30,1,0,1,2,2,14,12
577,60,104,14,6,2,30,1,1,1,2,3,14,12
1111,40,103,14,13,13,31,1,0,0,6,3,14,12
1031,40,112,14,14,12,33,0,0,1,6,6,14,12
1274,40,106,13,11,12,31,1,0,1,0,1,15,12
533,45,109,15,8,2,30,1,0,1,2,2,15,12
1442,40,118,16,6,7,29,1,0,1,2,1,16,12
827,40,105,16,7,8,30,1,0,1,2,1,16,12
1371,40,128,18,8,13,36,1,0,0,1,2,16,12
1211,27,92,12,13,3,31,1,0,1,3,2,16,12
1160,40,84,12,17,2,38,1,0,0,4,2,16,12
841,40,109,18,13,2,36,1,0,0,3,4,16,12
673,40,92,17,6,4,31,1,0,1,5,5,16,12
808,50,101,18,8,9,38,1,1,0,3,2,17,12
325,55,113,12,11,5,29,1,1,0,1,2,10,13
350,40,74,12,14,3,32,1,0,1,4,2,10,13
1250,40,106,12,14,19,35,1,0,1,4,1,11,13
1100,40,104,12,18,7,37,1,0,1,2,3,11,13
1384,50,114,18,12,2,37,1,0,1,1,1,12,13
1260,45,106,12,5,3,29,1,0,1,2,1,12,13
1562,40,97,17,7,2,32,1,1,1,5,1,12,13
2308,40,116,17,8,2,38,1,0,0,6,1,12,13
1050,40,119,16,7,18,37,0,0,1,2,2,12,13
975,40,101,13,12,10,30,1,0,0,3,3,12,13
879,40,118,18,1,9,31,1,0,1,1,2,13,13
1092,44,110,16,15,13,36,1,0,1,4,4,13,13
508,50,125,17,9,2,31,1,1,1,3,1,16,13
1444,40,120,16,12,15,37,1,0,1,1,2,17,13
1386,42,109,16,10,11,34,1,1,0,1,1,4,14
1346,40,106,16,15,11,37,1,0,1,1,1,8,14
1000,40,121,13,6,1,33,1,0,1,2,2,8,14
700,50,130,13,14,1,38,1,0,1,1,2,11,14
1190,40,119,17,4,2,34,1,0,1,0,1,12,14
1186,30,91,17,8,9,33,1,0,1,1,1,12,14
1250,40,117,16,10,7,33,1,0,1,1,1,12,14
684,45,106,13,16,2,38,1,1,1,1,1,12,14
1500,40,123,16,9,12,32,1,1,1,1,1,12,14
1400,42,108,17,7,3,31,1,0,1,2,1,12,14
1452,45,115,17,1,7,30,1,0,1,3,1,12,14
520,50,107,18,6,3,29,1,0,0,10,1,12,14
1014,55,110,16,13,9,30,0,0,1,1,2,12,14
1473,40,110,16,15,15,36,1,1,0,1,2,12,14
910,30,95,12,16,5,35,1,1,1,2,3,12,14
615,50,99,15,16,15,38,1,0,0,2,3,12,14
833,48,96,16,9,7,31,1,0,1,4,4,12,14
930,43,132,18,8,13,38,1,0,0,1,1,13,14
1384,50,104,13,8,7,31,1,1,0,3,1,13,14
825,40,108,14,11,9,33,1,0,1,1,2,14,14
1154,50,109,16,10,3,35,1,1,1,2,1,16,14
1039,40,113,14,12,8,34,1,0,1,1,2,16,14
1026,45,113,16,9,13,30,1,1,1,2,2,16,14
898,40,101,16,7,9,35,0,0,1,3,4,16,14
1779,40,132,17,8,9,32,1,0,1,1,1,17,14
1038,48,103,15,8,2,36,1,1,0,2,1,12,15
1111,40,98,14,10,1,29,1,0,1,3,1,12,15
1748,55,125,18,12,12,34,1,0,1,1,2,14,15
625,40,129,18,4,5,36,1,1,0,3,1,15,15
808,50,101,17,8,0,30,1,1,1,1,2,15,15
1105,40,103,13,10,11,30,1,0,1,1,1,16,15
1130,40,109,18,4,13,38,1,0,0,1,2,18,15
1346,40,112,16,14,14,35,1,0,1,0,1,12,16
1682,45,126,16,10,11,31,1,0,1,1,1,12,16
1744,43,106,16,8,9,29,1,1,1,1,1,12,16
1539,40,115,17,7,9,31,1,1,1,2,1,12,16
962,40,112,15,8,2,37,1,0,1,2,1,12,16
1694,30,113,15,9,8,29,0,0,1,3,1,12,16
879,70,90,12,17,10,35,0,0,1,1,2,12,16
1679,55,127,18,10,3,32,1,1,1,1,2,12,16
1411,45,121,18,14,3,38,1,0,1,3,2,12,16
1539,40,111,17,10,13,37,1,0,1,3,2,12,16
854,48,120,16,8,5,29,0,0,1,2,3,12,16
1154,40,109,16,12,9,34,1,0,1,0,1,13,16
658,40,129,16,11,9,30,1,0,1,2,1,13,16
874,55,132,13,8,2,33,1,0,0,2,1,13,16
357,70,97,14,6,3,28,1,1,0,1,2,13,16
507,55,110,14,10,4,32,1,1,1,2,2,13,16
577,40,106,17,11,7,33,0,1,1,3,2,13,16
843,40,102,14,8,7,29,1,1,0,1,1,16,16
635,40,128,18,8,13,36,0,0,1,2,1,16,16
1354,40,119,17,13,9,35,0,0,0,2,1,16,16
1602,60,124,16,8,9,29,1,0,1,3,1,16,16
2500,40,95,15,12,9,36,1,0,1,3,1,16,16
579,44,122,13,8,1,30,1,0,0,4,1,16,16
990,40,108,13,13,9,33,1,0,0,4,1,16,16
817,40,116,16,10,7,31,1,1,0,1,2,16,16
1084,45,95,15,17,10,37,1,0,1,1,2,16,16
1368,45,107,16,11,1,33,1,1,1,2,2,16,16
1202,48,114,16,6,6,28,1,0,1,3,3,16,16
2771,50,134,18,6,7,34,1,0,1,4,3,16,16
1282,45,97,16,4,1,32,1,0,1,11,3,16,16
664,60,82,16,10,9,34,1,1,1,3,4,16,16
1586,40,127,16,16,12,37,1,0,1,4,4,16,16
875,50,124,16,9,3,31,0,0,0,2,2,17,16
2162,40,116,15,9,4,31,1,0,1,2,1,12,17
1682,40,115,16,10,4,37,1,1,1,1,2,12,17
1026,45,125,12,11,11,28,1,0,1,3,1,14,17
797,55,90,16,11,5,33,1,0,1,5,2,14,17
1076,45,105,12,5,8,31,0,0,1,1,1,16,17
1270,40,104,16,8,4,31,1,1,1,3,4,16,17
340,50,104,14,4,1,31,1,1,1,5,3,8,18
1500,37,119,15,8,5,33,0,0,1,1,1,12,18
884,46,120,17,4,10,36,1,0,0,2,1,12,18
872,45,115,15,7,4,29,1,0,1,3,1,12,18
1643,48,117,18,8,2,33,1,0,1,2,2,12,18
1282,60,96,18,7,5,32,1,1,1,4,2,12,18
485,40,89,12,10,9,30,0,1,0,4,3,12,18
1573,55,112,18,7,8,34,1,1,1,1,1,14,18
1155,60,106,18,10,2,37,1,0,1,3,3,14,18
1924,50,99,16,16,14,37,1,0,1,0,1,16,18
1924,50,121,18,11,7,35,1,0,1,3,1,16,18
1924,50,112,18,9,10,38,1,0,1,6,1,16,18
1000,44,113,17,8,2,34,1,1,1,4,1,17,18
1154,40,117,16,11,12,35,1,1,1,5,5,17,18
577,40,111,16,8,8,29,0,1,1,1,1,18,18
666,75,129,18,8,12,38,1,0,0,2,1,18,18
